authors,citedby,author_count
"['Ribeiro C.M.', 'Oliveira S.R.', 'Alfieri D.F.', 'Flauzino T.', 'Kaimen-Maciel D.R.', 'Simao A.N.C.', 'Maes M.', 'Reiche E.M.V.']",24,8
"['Brennan-Olsen S.L.', 'Bowe S.J.', 'Kowal P.', 'Naidoo N.', 'Quashie N.T.', 'Eick G.', 'Agrawal S.', ""D'Este C.""]",9,8
"['Samthong C.', 'Kunanusont N.', 'Deetuam C.', 'Wongkhan T.', 'Supannasud T.', 'Somwangthanaroj A.']",7,6
"['Chiengthong K.', 'Lertjitbanjong P.', 'Thongprayoon C.', 'Bathini T.', 'Sharma K.', 'Prasitlumkum N.', 'Mao M.A.', 'Cheungpasitporn W.', 'Chokesuwattanaskul R.']",8,9
"['Kitiyodom S.', 'Yata T.', 'Yostawornkul J.', 'Kaewmalun S.', 'Nittayasut N.', 'Suktham K.', 'Surassmo S.', 'Namdee K.', 'Rodkhum C.', 'Pirarat N.']",22,10
"['Chonsut P.', 'Mahalapbutr P.', 'Pradubyat N.', 'Chavasiri W.', 'Wonganan P.', 'Ketchart W.']",7,6
"['Phoomvuthisarn P.', 'Suriyaphol G.', 'Tuntivanich N.']",5,3
"['Singhatanadgige W.', 'Zebala L.P.', 'Luksanapruksa P.', 'Riew K.D.']",0,4
"['Corpuz R.D.', 'De Juan L.M.Z.', 'Praserthdam S.', 'Pornprasertsuk R.', 'Yonezawa T.', 'Nguyen M.T.', 'Kheawhom S.']",30,7
"['Charoensareerat T.', 'Chaijamorn W.', 'Boonpeng A.', 'Srisawat N.', 'Pummangura C.', 'Pattharachayakul S.']",7,6
"['Hosseini S.', 'Abbasi A.', 'Uginet L.-O.', 'Haustraete N.', 'Praserthdam S.', 'Yonezawa T.', 'Kheawhom S.']",64,7
"['Chuammitri P.', 'Wongsawan K.', 'Pringproa K.', 'Thanawongnuwech R.']",15,4
"['Lyapichev K.A.', 'Sukswai N.', 'Strati P.', 'Iyer S.P.', 'Medeiros L.J.', 'Miranda R.N.']",0,6
"['Kadoh D.', 'Nakayama K.']",4,2
"['Lin J.', 'Pipattanasomporn M.', 'Rahman S.']",94,3
"['Sun Y.', 'Chang S.', 'Wang F.', 'Sun H.', 'Ni Z.', 'Yue W.', 'Zhou H.', 'Gelernter J.', 'Malison R.T.', 'Kalayasiri R.', 'Wu P.', 'Lu L.', 'Shi J.']",17,13
"['Chatchawanwirote L.', 'Chuysinuan P.', 'Thanyacharoen T.', 'Ekabutr P.', 'Supaphol P.']",12,5
"['Boonpavanitchakul K.', 'Jarussophon S.', 'Pimpha N.', 'Kangwansupamonkon W.', 'Magaraphan R.']",13,5
"['Panedpojaman P.', 'Thepchatri T.', 'Limkatanyu S.']",7,3
"['Narkbuakaew T.', 'Sujaridworakun P.']",14,2
"['Sonpeayung R.', 'Tantisuwat A.', 'Janwantanakul P.', 'Thaveeratitham P.']",2,4
"['Wang X.', 'Liu Y.', 'Zhu L.', 'Li Y.', 'Wang K.', 'Qiu K.', 'Tippayawong N.', 'Aggarangsi P.', 'Reubroycharoen P.', 'Wang S.']",51,10
"['Saini N.', 'Wannasiri C.', 'Chanmungkalakul S.', 'Prigyai N.', 'Ervithayasuporn V.', 'Kiatkamjornwong S.']",20,6
"['Hirunyaphinun B.', 'Taweetanalarp S.', 'Tantisuwat A.']",1,3
"['Rongsayamanont C.', 'Khan E.', 'Limpiyakorn T.']",8,3
"['Jatuyosporn T.', 'Laohawutthichai P.', 'Supungul P.', 'Sotelo-Mundo R.R.', 'Ochoa-Leyva A.', 'Tassanakajon A.', 'Krusong K.']",5,7
"['Wasinpongwanich K.', 'Pongpirul K.', 'Lwin K.M.M.', 'Kesornsak W.', 'Kuansongtham V.', 'Ruetten S.']",21,6
"['Tripetch P.', 'Borompichaichartkul C.']",25,2
"['Ukritchon B.', 'Yoang S.', 'Keawsawasvong S.']",46,3
"['Limothai U.', 'Chuaypen N.', 'Poovorawan K.', 'Chotiyaputta W.', 'Tanwandee T.', 'Poovorawan Y.', 'Tangkijvanich P.']",15,7
"['Larpant N.', 'Pham A.D.', 'Shafaat A.', 'Gonzalez-Martinez J.F.', 'Sotres J.', 'Sjoholm J.', 'Laiwattanapaisal W.', 'Faridbod F.', 'Ganjali M.R.', 'Arnebrant T.', 'Ruzgas T.']",19,11
"['Sirirat K.', 'Sriwantana T.', 'Kaewchuchuen J.', 'Paiboonsukwong K.', 'Fucharoen S.', 'Ritthidej G.', 'Parakaw T.', 'Srihirun S.', 'Vivithanaporn P.', 'Sritara P.', 'Sibmooh N.']",4,11
"['Lao-atiman W.', 'Olaru S.', 'Arpornwichanop A.', 'Kheawhom S.']",30,4
"['Lakananurak N.', 'Tienchai K.']",8,2
"['Kanthaswamy S.', 'Oldt R.F.', 'Said R.', 'Grijalva J.', 'Falak A.', 'Jensen A.', 'Vizor C.', 'Houghton P.', 'Bunlungsup S.', 'Malaivijitnond S.', 'Smith D.G.']",0,11
"['Pungrasmi W.', 'Intarasoontron J.', 'Jongvivatsakul P.', 'Likitlersuang S.']",68,4
"['Xu L.D.', 'Viriyasitavat W.']",103,2
"['Kritsanapuntu S.', 'Chaitanawisuti N.']",2,2
"['Tiyasatkulkovit W.', 'Promruk W.', 'Rojviriya C.', 'Pakawanit P.', 'Chaimongkolnukul K.', 'Kengkoom K.', 'Teerapornpuntakit J.', 'Panupinthu N.', 'Charoenphandhu N.']",20,9
"['Tepmongkol S.', 'Hemrungrojn S.', 'Dupont P.', 'Tunvirachaisakul C.', 'Aniwattanapong D.', 'Likitjareon Y.', 'Supasitthumrong T.', 'Tawankanjanachot I.', 'Siritranon N.', 'Chuchuen P.', 'Natsawang B.', 'Tangwongchai S.']",4,12
"['Prakansamut N.', 'Phupong V.']",9,2
"['Sriswasdi S.', 'Takashima M.', 'Manabe R.-I.', 'Ohkuma M.', 'Iwasaki W.']",8,5
"['Jansook P.', 'Kulsirachote P.', 'Asasutjarit R.', 'Loftsson T.']",23,4
"['Khaksar G.', 'Sangchay W.', 'Pinsorn P.', 'Sangpong L.', 'Sirikantaramas S.']",17,5
"['Muangnoi C.', 'Ratnatilaka Na Bhuket P.', 'Jithavech P.', 'Supasena W.', 'Paraoan L.', 'Patumraj S.', 'Rojsitthisak P.']",25,7
"['Mekasuwandumrong O.', 'Jantarasorn N.', 'Panpranot J.', 'Ratova M.', 'Kelly P.', 'Praserthdam P.']",25,6
"['Nowwarote N.', 'Osathanon T.', 'Kanjana K.', 'Theerapanon T.', 'Porntaveetus T.', 'Shotelersuk V.']",5,6
"['Taweevisit M.', 'Thorner P.S.']",2,2
['Thongprasom K.'],1,1
"['Wutthithien P.', 'Lindblad P.', 'Incharoensakdi A.']",15,3
"['Suchartlikitwong P.', 'Anugulruengkitt S.', 'Wacharachaisurapol N.', 'Jantarabenjakul W.', 'Sophonphan J.', 'Theerawit T.', 'Chatsuwan T.', 'Wattanavijitkul T.', 'Puthanakit T.']",17,9
"['Keawsawasvong S.', 'Ukritchon B.']",43,2
"['Kuvatanasuchati J.', 'Leowsrisook K.']",1,2
"['Prasoppokakorn T.', 'Jirasakuldej S.', 'Lakananurak N.']",10,3
"['Broecker F.', 'Liu S.T.H.', 'Suntronwong N.', 'Sun W.', 'Bailey M.J.', 'Nachbagauer R.', 'Krammer F.', 'Palese P.']",27,8
"['Mahalapbutr P.', 'Darai N.', 'Panman W.', 'Opasmahakul A.', 'Kungwan N.', 'Hannongbua S.', 'Rungrotmongkol T.']",25,7
"['Promchat A.', 'Wongravee K.', 'Sukwattanasinitt M.', 'Praneenararat T.']",6,4
"['Simanon N.', 'Adisakwattana P.', 'Thiangtrongjit T.', 'Limpanont Y.', 'Chusongsang P.', 'Chusongsang Y.', 'Anuntakarun S.', 'Payungporn S.', 'Ampawong S.', 'Reamtong O.']",5,10
"['Bano A.', 'Chen X.', 'Prasongsuk S.', 'Akbar A.', 'Lotrakul P.', 'Punnapayak H.', 'Anwar M.', 'Sajid S.', 'Ali I.']",24,9
"['Karnwiboon K.', 'Krajangpit W.', 'Supap T.', 'Muchan P.', 'Saiwan C.', 'Idem R.', 'Koiwanit J.']",14,7
"['Kittithamvongs P.', 'Pongpirul K.']",2,2
"['Kornsuthisopon C.', 'Techangamsuwan S.', 'Makhum P.', 'Kalpravidh C.', 'Pirarat N.']",1,5
"['Viriyasitavat W.', 'Xu L.D.', 'Bi Z.', 'Pungpapong V.']",99,4
"['Ukritchon B.', 'Ouch R.', 'Pipatpongsa T.', 'Khosravi M.H.']",2,4
"['Viriyasitavat W.', 'Xu L.D.', 'Bi Z.', 'Hoonsopon D.', 'Charoenruk N.']",51,5
"['Kanwal S.', 'Incharoensakdi A.']",8,2
"['Hempattarasuwan P.', 'Settachaimongkon S.', 'Duangmal K.']",10,3
"['Khamsanga S.', 'Pornprasertsuk R.', 'Yonezawa T.', 'Mohamad A.A.', 'Kheawhom S.']",113,5
"['Phoolcharoen N.', 'Oranratanaphan S.', 'Ariyasriwatana C.', 'Worasethsin P.']",6,4
"['Boondam Y.', 'Songvut P.', 'Tantisira M.H.', 'Tapechum S.', 'Tilokskulchai K.', 'Pakaprot N.']",16,6
